Name of movie,Year of release,Watchtime,Genre,Classification,Movie Rating,Metascore,Votes,Gross collection,Des,id,keywords
Mr. Bean's Holiday,2007,90,"Comedy, Family",G,6.4,56,"133,761","232,225,908","Mr. Bean wins a trip to Cannes where he unwittingly separates a young boy from his father and must help the two reunite. On the way he discovers France, bicycling, and true love.",1268,"holiday, france, film director, chaos, clumsy fellow, to drop brick, aftercreditsstinger"
Juno,2007,96,"Comedy, Drama",PG-13,7.4,81,"547,791","232,372,681","Faced with an unplanned pregnancy, an offbeat young woman makes a selfless decision regarding the unborn child.",7326,"sexuality, becoming an adult, puberty, first time, oscar award, pregnancy and birth, pregnant minor, precocity, partnership, teenager, teenage pregnancy"
Transformers,2007,144,"Action, Adventure, Sci-Fi",PG-13,7,61,"672,854","709,709,780","An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager.",1858,"destroy, transformation, alien, based on toy, transformers, robot, duringcreditsstinger, teenage hero"
Hairspray,2007,117,"Comedy, Drama, Musical",PG,6.7,81,"138,304","203,627,753",Pleasantly plump teenager Tracy Turnblad teaches 1962 Baltimore a thing or two about integration after landing a spot on a local TV dance show.,2976,"races, dream, dance, television, tv show, race politics, coloured, music, equality, school party, performance, integration, overweight woman, based on play or musical, duel, xenophobia, based on movie, 1960s"
Paranormal Activity,2007,86,"Horror, Mystery",R,6.3,68,"255,400","193,355,800","After moving into a suburban home, a couple becomes increasingly disturbed by a nightly demonic presence.",23827,"haunting, psychic, entity, demonic possession, found footage"
Pirates of the Caribbean: At World's End,2007,169,"Action, Adventure, Fantasy",PG-13,7.1,50,"690,870","961,691,209","Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle.",285,"ocean, drug abuse, exotic island, east india trading company, love of one's life, traitor, shipwreck, strong woman, ship, alliance, calypso, afterlife, fighter, pirate, swashbuckler, aftercreditsstinger"
The Simpsons Movie,2007,87,"Animation, Adventure, Comedy",PG-13,7.3,80,"348,878","536,414,293","After Homer pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",35,"father son relationship, lake, springfield, the simpsons, duff beer, garbage, pig, pollution, environmental protection agency, quarantine, alcoholism, love, alaska, dysfunctional family, dysfunctional marriage, ecology, saving lives, first love, duringcreditsstinger, donuts"
Alvin and the Chipmunks,2007,92,"Adventure, Comedy, Family",PG,5.2,39,"94,326","365,352,546",Three musical chipmunks are discovered by an aspiring songwriter who wants to use their amazing singing abilities to become famous.,6477,"pop, pop star, record producer, surprise, approach, forest, music, concert, friendship, performance, chipmunk, talking animal, songwriter, talking to animals, duringcreditsstinger"
Rush Hour 3,2007,91,"Action, Comedy, Crime",PG-13,6.2,44,"182,501","258,097,122","After an attempted assassination on Ambassador Han, Lee and Carter head to Paris to protect a French woman with knowledge of the Triads' secret leaders.",5174,ambassador
Live Free or Die Hard,2007,128,"Action, Thriller",PG-13,7.1,69,"420,005","388,156,011",John McClane and a young hacker join forces to take down master cyber-terrorist Thomas Gabriel in Washington D.C.,1571,"washington d.c., hostage, fbi, kidnapping, hacker, transport of prisoners, ex-cop, suspense, violence, car chase, cyber terrorism, action hero"
Fantastic Four: Rise of the Silver Surfer,2007,92,"Action, Adventure, Fantasy",PG,5.6,45,"276,777","301,913,131",The Fantastic Four learn that they aren't the only super-powered beings in the universe when they square off against the powerful Silver Surfer and the planet-eating Galactus.,,"flying, fire, brother sister relationship, marriage proposal, radiation, dna, missile, mask, transformation, supernatural powers, friendship, marvel comic, playboy, superhero, based on comic, laboratory, outer space, explosion, scientist, space station, brooklyn bridge, superhuman strength, invisibility, elasticity"
Enchanted,2007,107,"Animation, Adventure, Comedy",PG,7.1,75,"216,722","340,487,862","A young maiden in a land called Andalasia, who is prepared to be wed, is sent away to New York City by an evil Queen, where she falls in love with a lawyer.",4523,"poison, queen, fairy tale, musical, princess, portal, animation, fantasy world, evil witch, part animation"
National Treasure: Book of Secrets,2007,124,"Action, Adventure, Mystery",PG,6.5,48,"252,829","459,242,249",Benjamin Gates must follow a clue left in John Wilkes Booth's diary to prove his ancestor's innocence in the assassination of Abraham Lincoln.,6637,"paris, london england, assassination, mount rushmore national memorial, riddle, father son relationship, assassin, usa president, wife husband relationship, gold, secret, treasure, family history, buckingham palace, treasure hunt, history, archaeologist, american civil war, archeology , secret formula"
Ratatouille,2007,111,"Animation, Adventure, Comedy",G,8.1,96,"819,317","623,726,085",A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,2062,"paris, brother brother relationship, expensive restaurant, river, cook, mouse, confidence, roof, window, leaving one's family, work, restaurant critic, kitchen, spice, court, cookbook, family, chef, rat"
Harry Potter and the Order of the Phoenix,2007,138,"Action, Adventure, Family",PG-13,7.5,71,"630,478","939,288,806","With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.",675,"prophecy, witch, loss of lover, magic, cutting the cord, child hero, dying and death, broom, sorcerer's apprentice, school of witchcraft, black magic, death of a friend, sorcery, occultism"
Bee Movie,2007,91,"Animation, Adventure, Comedy",PG,6.1,54,"178,953","293,514,336","Barry B. Benson, a bee just graduated from college, is disillusioned at his lone career choice: making honey. On a special trip outside the hive, Barry's life is saved by Vanessa, a florist in New York City. As their relationship blossoms, he discovers humans actually eat honey and subsequently decides to sue them.",5559,"factory worker, tennis, flower, florist, flower shop, pilot, college, airplane, beehive, court, aftercreditsstinger"
Shrek the Third,2007,93,"Animation, Adventure, Comedy",PG,6.1,58,"331,112","813,367,380","Reluctantly designated as the heir to the land of Far, Far Away, Shrek hatches a plan to install the rebellious Artie as the new king while Princess Fiona tries to fend off a coup d'état by the jilted Prince Charming.",810,"ambush, sadness, stage, liberation of prisoners, island, traitor, shipwreck, prince, ship, donkey, kingdom, theatre play, transformation, conciliation, tricks, heir to the throne, assault, boarding school, coup d'etat, teacher, best friend, dragon, cowardliness, pregnancy, capture, duringcreditsstinger"
